Game ID,Result
4905358,5.33x
4905359,2.53x
4905360,1.29x
4905361,8.62x
4905362,1.23x
4905363,5.77x
4905364,1.08x
4905365,1.27x
4905366,5.02x
4905367,5.46x
4905368,1.78x
4905369,1.78x
4905370,2.32x
4905371,3.37x
4905372,1.92x
4905373,1.62x
4905374,7.4x
4905375,3.02x
4905376,15.17x
4905377,3.04x
4905378,10.91x
4905379,8.26x
4905380,5.45x
4905381,1.42x
4905382,3.36x
4905383,1.98x
4905384,1.32x
4905385,4.69x
4905386,1.35x
4905387,5.35x
4905388,2.82x
4905389,2.56x
4905390,1.14x
4905391,8.53x
4905392,4.43x
4905393,11.16x
4905394,1.02x
4905395,1.21x
4905396,3.81x
4905397,4.06x
4905398,4.08x
4905399,1.42x
4905400,6.65x
4905401,2.78x
4905402,2.14x
4905403,2.07x
4905404,1.01x
4905405,1.09x
4905406,5.1x
4905407,1.14x
4905408,1.05x
4905409,1.51x
4905410,1.01x
4905411,2.05x
4905412,1.12x
4905413,1.89x
4905414,15.62x
4905415,2.9x
4905416,1.37x
4905417,9.95x
4905418,2.3x
4905419,7.09x
4905420,1.56x
4905421,1.12x
4905422,5.07x
4905423,2.21x
4905424,2.65x
4905425,1.84x
4905426,4.72x
4905427,1.28x
4905428,1.66x
4905429,1.07x
4905430,1.04x
4905431,1.07x
4905432,1.62x
4905433,1.38x
4905434,7.52x
4905435,1.09x
4905436,1.46x
4905437,3.57x
4905438,2.26x
4905439,1.22x
4905440,1.22x
4905441,2.55x
4905442,4.17x
4905443,1.58x
4905444,1.39x
4905445,1.18x
4905446,1.03x
4905447,1.79x
4905448,8.37x
4905449,17.75x
4905450,1.89x
4905451,1.26x
4905452,17.27x
4905453,5.52x
4905454,10.1x
4905455,1.28x
4905456,3.84x
4905457,6.53x
4905458,2.17x
4905459,3.43x
4905460,1.23x
4905461,7.9x
4905462,1.06x
4905463,1.14x
4905464,2.59x
4905465,1.68x
4905466,1.48x
4905467,1.25x
4905468,1.1x
4905469,15.95x
4905470,1.1x
4905471,3.06x
4905472,8.52x
4905473,1.43x
4905474,10.25x
4905475,1.93x
4905476,10.02x
4905477,1.32x
4905478,1.6x
4905479,4.16x
4905480,1.49x
4905481,2.41x
4905482,1.31x
4905483,1.14x
4905484,2.1x
4905485,1.38x
4905486,22.31x
4905487,4.8x
4905488,2.92x
4905489,2.21x
4905490,9.55x
4905491,1.37x
4905492,1.07x
4905493,76.34x
4905494,1.02x
4905495,1.42x
4905496,3.99x
4905497,1.02x
4905498,1.4x
4905499,28.38x
4905500,357.65x
4905501,1.36x
4905502,2.36x
4905503,1.03x
4905504,1.88x
4905505,4.28x
4905506,6.1x
4905507,1.89x
4905508,1.28x
4905509,1.91x
4905510,23.64x
4905511,1.16x
4905512,1.23x
4905513,1.24x
4905514,6.21x
4905515,4.08x
4905516,2.69x
4905517,5.44x
4905518,1.32x
4905519,2.84x
4905520,2.37x
4905521,2.96x
4905522,1.07x
4905523,1.07x
4905524,4.19x
4905525,2.03x
4905526,3.35x
4905527,1.34x
4905528,1.44x
4905529,1.09x
4905530,1.16x
4905531,2.51x
4905532,1.76x
4905533,5.89x
4905534,1.17x
4905535,2.51x
4905536,11.6x
4905537,8.75x
4905538,19.04x
4905539,1.24x
4905540,1.64x
4905541,1.08x
4905542,2.89x
4905543,1.64x
4905544,3.91x
4905545,2.09x
4905546,3.08x
4905547,2.73x
4905548,1.85x
4905549,1.33x
4905550,2.66x
4905551,1.01x
4905552,1.55x
4905553,1.41x
4905554,1.01x
4905555,2.85x
4905556,2.34x
4905557,1.95x
4905558,1.08x
4905559,1.31x
4905560,2.1x
4905561,22.53x
4905562,1.08x
4905563,4.1x
4905564,1.06x
4905565,1.74x
4905566,1.04x
4905567,2.73x
4905568,1.53x
4905569,8.28x
4905570,1.72x
4905571,5.97x
4905572,49.18x
4905573,9.04x
4905574,1.41x
4905575,1.63x
4905576,2.77x
4905577,1.54x
4905578,4.41x
4905579,1.17x
4905580,6.87x
4905581,2.59x
4905582,3.19x
4905583,1.54x
4905584,1.17x
4905585,1.38x
4905586,1.06x
4905587,1.09x
4905588,1.47x
4905589,7.06x
4905590,5.05x
4905591,1x
4905592,1.88x
4905593,132.64x
4905594,1.07x
4905595,4.75x
4905596,6.06x
4905597,3.44x
4905598,10.57x
4905599,3.92x
4905600,2.09x
4905601,6.61x
4905602,31.98x
4905603,30.6x
4905604,2.58x
4905605,3.73x
4905606,5.68x
4905607,3.28x
4905608,1.92x
4905609,2.2x
4905610,2.04x
4905611,1.53x
4905612,1.67x
4905613,14.19x
4905614,23.22x
4905615,1.03x
4905616,1.34x
4905617,9.62x
4905618,1.94x
4905619,10.19x
4905620,2.03x
4905621,1.11x
4905622,1.11x
4905623,3.46x
4905624,1.69x
4905625,5.17x
4905626,1.31x
4905627,6.69x
4905628,1.55x
4905629,8.45x
4905630,1.75x
4905631,2.39x
4905632,1.18x
4905633,1.18x
4905634,1.2x
4905635,88.57x
4905636,1.04x
4905637,1x
4905638,1.2x
4905639,3.32x
4905640,4.85x
4905641,6.29x
4905642,4.66x
4905643,1.34x
4905644,2.2x
4905645,2.74x
4905646,1.19x
4905647,2.25x
4905648,4.07x
4905649,1.09x
4905650,1.43x
4905651,1.59x
4905652,1.15x
4905653,1.44x
4905654,1.48x
4905655,1.68x
4905656,1.67x
4905657,8.03x
4905658,1.04x
4905659,1.21x
4905660,9.19x
4905661,5.21x
4905662,3.92x
4905663,1.86x
4905664,1.27x
4905665,1.1x
4905666,3.62x
4905667,1.56x
4905668,2.26x
4905669,1.08x
4905670,1.52x
4905671,2.33x
4905672,3.03x
4905673,3.79x
4905674,1x
4905675,2.88x
4905676,3.36x
4905677,103.03x
4905678,120.56x
4905679,4.6x
4905680,5.49x
4905681,3.6x
4905682,1.06x
4905683,1.05x
4905684,3.62x
4905685,4x
4905686,94.09x
4905687,5.27x
4905688,1.48x
4905689,2.89x
4905690,1.91x
4905691,1.09x
4905692,1.63x
4905693,1.04x
4905694,1.03x
4905695,1.13x
4905696,4.71x
4905697,1.76x
4905698,1.01x
4905699,2.91x
4905700,1.07x
4905701,85.74x
4905702,1.57x
4905703,1.6x
4905704,1.01x
4905705,4.08x
4905706,1.84x
4905707,3.02x
4905708,1.25x
4905709,15.08x
4905710,5.89x
4905711,1.78x
4905712,1.2x
4905713,4.24x
4905714,1.43x
4905715,1.64x
4905716,4.73x
4905717,1.05x
4905718,1.66x
4905719,5.95x
4905720,2.34x
4905721,1.59x
4905722,9.18x
4905723,1.45x
4905724,1.64x
4905725,1.26x
4905726,1.11x
4905727,1.48x
4905728,1.07x
4905729,102.69x
4905730,2.9x
4905731,5.07x
4905732,1.56x
4905733,4.36x
4905734,3.22x
4905735,1.23x
4905736,2.79x
4905737,2.55x
4905738,1.4x
4905739,3.17x
4905740,3.18x
4905741,19.21x
4905742,1.86x
4905743,3.32x
4905744,3.86x
4905745,1.71x
4905746,1.61x
4905747,5.27x
4905748,5.15x
4905749,1.57x
4905750,4.17x
4905751,1.69x
4905752,2.02x
4905753,1.19x
4905754,1.31x
4905755,19.61x
4905756,2.83x
4905757,1.35x
4905758,1.03x
4905759,1.6x
4905760,2.16x
4905761,4.2x
4905762,3.33x
4905763,1.91x
4905764,19.29x
4905765,1.03x
4905766,1.33x
4905767,1.75x
4905768,52.85x
4905769,2.25x
4905770,1.31x
4905771,1.09x
4905772,1.53x
4905773,1.46x
4905774,5.47x
4905775,3.04x
4905776,1x
4905777,2.37x
4905778,92.35x
4905779,3.71x
4905780,2.14x
4905781,2.63x
4905782,1.34x
4905783,1.59x
4905784,1.02x
4905785,1.69x
4905786,1.04x
4905787,1.75x
4905788,5.62x
4905789,4.78x
4905790,16.27x
4905791,26.26x
4905792,1.33x
4905793,5.26x
4905794,2.92x
4905795,1.31x
4905796,60.81x
4905797,2.43x
4905798,1.17x
4905799,2.59x
4905800,1.11x
